year,variable,metric,estimate,share
2022,TOYOTA,Battery Electric Vehicle,9,3.9649323758755893e-4
2022,TOYOTA,Hybrid Electric Vehicle,11640,0.639912039582188
2022,UBCO,Battery Electric Vehicle,1,4.405480417639543e-5
2022,VOLKSWAGEN,Battery Electric Vehicle,887,0.03907661130446275
2022,VOLVO,Battery Electric Vehicle,367,0.016168113132737125
2022,VOLVO,Hybrid Electric Vehicle,520,0.028587135788894998
2022,ZERO MOTORCYCLES,Battery Electric Vehicle,58,0.0025551786422309355
2023,ARCIMOTO,Battery Electric Vehicle,1,9.744689144416293e-5
2023,AUDI,Battery Electric Vehicle,167,0.01627363087117521
2023,BMW,Battery Electric Vehicle,275,0.026797895147144805
2023,BMW,Hybrid Electric Vehicle,5,7.675775253300583e-4
2023,CADILLAC,Battery Electric Vehicle,15,0.001461703371662444
2023,CAKE,Battery Electric Vehicle,1,9.744689144416293e-5
2023,CHEVROLET,Battery Electric Vehicle,637,0.06207366984993179
2023,CHEVROLET,Hybrid Electric Vehicle,38,0.005833589192508443
2023,EAHORA,Battery Electric Vehicle,1,9.744689144416293e-5
2023,ELECTRA MECCANICA VEHICLES CORP.,Battery Electric Vehicle,3,2.923406743324888e-4
2023,ENERGICA,Battery Electric Vehicle,1,9.744689144416293e-5
2023,FERRARI,Hybrid Electric Vehicle,2,3.0703101013202335e-4
2023,FIAT,Battery Electric Vehicle,7,6.821282401091405e-4
2023,FORD,Battery Electric Vehicle,423,0.04122003508088092
2023,FORD,Hybrid Electric Vehicle,359,0.05511206631869819
2023,GENESIS,Battery Electric Vehicle,28,0.002728512960436562
2023,HONDA,Battery Electric Vehicle,1,9.744689144416293e-5
2023,HONDA,Hybrid Electric Vehicle,40,0.006140620202640466
2023,HYUNDAI,Battery Electric Vehicle,485,0.04726174235041902
2023,HYUNDAI,Hybrid Electric Vehicle,629,0.09656125268652134
2023,JAGUAR,Battery Electric Vehicle,4,3.897875657766517e-4
2023,JAGUAR,Hybrid Electric Vehicle,3,4.60546515198035e-4
2023,KARMA,Hybrid Electric Vehicle,1,1.5351550506601167e-4
2023,KIA,Battery Electric Vehicle,314,0.03059832391346716
2023,KIA,Hybrid Electric Vehicle,906,0.13908504758980658
2023,LAND ROVER,Hybrid Electric Vehicle,167,0.025637089346023947
2023,LEXUS,Battery Electric Vehicle,11,0.0010719158058857922
2023,LEXUS,Hybrid Electric Vehicle,651,0.0999385937979736
2023,LINCOLN,Hybrid Electric Vehicle,1,1.5351550506601167e-4
2023,LUCID,Battery Electric Vehicle,11,0.0010719158058857922
2023,LUCID MOTORS,Battery Electric Vehicle,41,0.00399532254921068
2023,MAZDA,Hybrid Electric Vehicle,3,4.60546515198035e-4
2023,MERCEDES-BENZ,Battery Electric Vehicle,159,0.015494055739621907
