date,variable,geography,estimate,share
2023-04-01,Hybrid Electric Vehicle,King,993,0.08957243370016237
2023-04-01,Hybrid Electric Vehicle,Kitsap,80,0.0676818950930626
2023-04-01,Hybrid Electric Vehicle,Pierce,308,0.07421686746987952
2023-04-01,Hybrid Electric Vehicle,Snohomish,283,0.07850208044382802
2023-04-01,Internal Combustion Engine,King,8133,0.7336279992783691
2023-04-01,Internal Combustion Engine,Kitsap,1007,0.8519458544839256
2023-04-01,Internal Combustion Engine,Pierce,3513,0.8465060240963855
2023-04-01,Internal Combustion Engine,Snohomish,2872,0.7966712898751733
2017-05-01,Battery Electric Vehicle,King,346,0.01964569611628435
2017-05-01,Battery Electric Vehicle,Kitsap,15,0.009927200529450696
2017-05-01,Battery Electric Vehicle,Pierce,21,0.004194128220491312
2017-05-01,Battery Electric Vehicle,Snohomish,50,0.011394712853236098
2017-05-01,Hybrid Electric Vehicle,King,136,0.007722007722007722
2017-05-01,Hybrid Electric Vehicle,Kitsap,19,0.01257445400397088
2017-05-01,Hybrid Electric Vehicle,Pierce,23,0.004593569003395246
2017-05-01,Hybrid Electric Vehicle,Snohomish,16,0.0036463081130355514
2017-05-01,Internal Combustion Engine,King,17130,0.9726322961617079
2017-05-01,Internal Combustion Engine,Kitsap,1477,0.9774983454665784
2017-05-01,Internal Combustion Engine,Pierce,4963,0.9912123027761135
2017-05-01,Internal Combustion Engine,Snohomish,4322,0.9849589790337283
2018-05-01,Battery Electric Vehicle,King,586,0.037116797567772995
2018-05-01,Battery Electric Vehicle,Kitsap,43,0.026858213616489695
2018-05-01,Battery Electric Vehicle,Pierce,40,0.00798562587342783
2018-05-01,Battery Electric Vehicle,Snohomish,107,0.023195317580750056
2018-05-01,Hybrid Electric Vehicle,King,129,0.008170762604509755
2018-05-01,Hybrid Electric Vehicle,Kitsap,10,0.006246096189881324
2018-05-01,Hybrid Electric Vehicle,Pierce,21,0.004192453583549611
2018-05-01,Hybrid Electric Vehicle,Snohomish,24,0.00520268805549534
2018-05-01,Internal Combustion Engine,King,15073,0.9547124398277173
2018-05-01,Internal Combustion Engine,Kitsap,1548,0.966895690193629
2018-05-01,Internal Combustion Engine,Pierce,4948,0.9878219205430225
2018-05-01,Internal Combustion Engine,Snohomish,4482,0.9716019943637546
2019-05-01,Battery Electric Vehicle,King,486,0.03131241543714967
2019-05-01,Battery Electric Vehicle,Kitsap,28,0.016018306636155607
2019-05-01,Battery Electric Vehicle,Pierce,68,0.01320901320901321
2019-05-01,Battery Electric Vehicle,Snohomish,78,0.018660287081339714
2019-05-01,Hybrid Electric Vehicle,King,351,0.02261452226016365
2019-05-01,Hybrid Electric Vehicle,Kitsap,27,0.015446224256292907
2019-05-01,Hybrid Electric Vehicle,Pierce,82,0.015928515928515928
2019-05-01,Hybrid Electric Vehicle,Snohomish,79,0.01889952153110048
2019-05-01,Internal Combustion Engine,King,14684,0.9460730623026867
2019-05-01,Internal Combustion Engine,Kitsap,1693,0.9685354691075515
2019-05-01,Internal Combustion Engine,Pierce,4998,0.9708624708624709
2019-05-01,Internal Combustion Engine,Snohomish,4023,0.9624401913875598
2020-05-01,Battery Electric Vehicle,King,143,0.025167194649771206
2020-05-01,Battery Electric Vehicle,Kitsap,9,0.010416666666666666
2020-05-01,Battery Electric Vehicle,Pierce,22,0.0075419952005485085
2020-05-01,Battery Electric Vehicle,Snohomish,27,0.012391005048187242
2020-05-01,Hybrid Electric Vehicle,King,130,0.02287926786342837
2020-05-01,Hybrid Electric Vehicle,Kitsap,14,0.016203703703703703
2020-05-01,Hybrid Electric Vehicle,Pierce,45,0.015426808364758314
